Rule ID,Vuln ID,Rule ID,len,CCI,STIG Title
SV-256072r882724_rule,V-256072,SV-256072r882724_rule,202,CCI-000018; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000166; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001464; CCI-001487; CCI-001814; CCI-002234; CCI-002605,Riverbed NetProfiler Security Technical Implementation Guide
SV-223998r877839_rule,V-223998,SV-223998r877839_rule,202,CCI-000018; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001487; CCI-001814; CCI-001875; CCI-002130; CCI-002234; CCI-002884,IBM z/OS TSS Security Technical Implementation Guide
SV-221160r410976_rule,V-221160,SV-221160r410976_rule,202,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000140; CCI-000166; CCI-000171; CCI-000172; CCI-001462; CCI-001464; CCI-001487; CCI-001814; CCI-001844; CCI-001851; CCI-001858,MongoDB Enterprise Advanced 3.x Security Technical Implementation Guide
SV-242259r754443_rule,V-242259,SV-242259r754443_rule,202,CCI-000366; CCI-001403; CCI-001404; CCI-001487; CCI-000018; CCI-000130; CCI-000131; CCI-000132; CCI-000134; CCI-000135; CCI-000169; CCI-000172; CCI-001814; CCI-001851; CCI-002234; CCI-002605; CCI-002130,Trend Micro TippingPoint NDM Security Technical Implementation Guide
SV-252134r855500_rule,V-252134,SV-252134r855500_rule,190,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000140; CCI-000166; CCI-000171; CCI-000172; CCI-001464; CCI-001487; CCI-001814; CCI-001844; CCI-001851; CCI-001858,MongoDB Enterprise Advanced 4.x Security Technical Implementation Guide
SV-223767r868853_rule,V-223767,SV-223767r868853_rule,178,CCI-000018; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001814; CCI-002130; CCI-002234; CCI-002884,IBM z/OS RACF Security Technical Implementation Guide
SV-223544r869034_rule,V-223544,SV-223544r869034_rule,178,CCI-000018; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001487; CCI-001814; CCI-002130; CCI-002234; CCI-002884,IBM z/OS ACF2 Security Technical Implementation Guide
SV-230845r855705_rule,V-230845,SV-230845r855705_rule,178,CCI-000154; CCI-000158; CCI-000169; CCI-001493; CCI-001494; CCI-001495; CCI-001499; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882,Apple macOS 11 (Big Sur) Security Technical Implementation Guide
SV-257240r905353_rule,V-257240,SV-257240r905353_rule,178,CCI-000154; CCI-000158; CCI-000169; CCI-001493; CCI-001494; CCI-001495; CCI-001499; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882,Apple macOS 13 (Ventura) Security Technical Implementation Guide
SV-252534r853302_rule,V-252534,SV-252534r853302_rule,178,CCI-000169; CCI-000154; CCI-000158; CCI-001493; CCI-001494; CCI-001495; CCI-001499; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882,Apple macOS 12 (Monterey) Security Technical Implementation Guide
SV-207577r612253_rule,V-207577,SV-207577r612253_rule,178,CCI-001178; CCI-001663; CCI-002420; CCI-001901; CCI-001902; CCI-001904; CCI-002462; CCI-002463; CCI-002464; CCI-002465; CCI-002466; CCI-002467; CCI-002468; CCI-002422; CCI-001184,BIND 9.x Security Technical Implementation Guide
SV-254897r867591_rule,V-254897,SV-254897r867591_rule,166,CCI-000056; CCI-000058; CCI-000060; CCI-000166; CCI-000764; CCI-000765; CCI-000766; CCI-000767; CCI-000768; CCI-001941; CCI-001953; CCI-001954; CCI-002009; CCI-002010,Tanium 7.x Application on TanOS Security Technical Implementation Guide
SV-242403r879525_rule,V-242403,SV-242403r879525_rule,154,CCI-000018; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000172; CCI-001403; CCI-001404; CCI-001487; CCI-001844; CCI-002264,Kubernetes Security Technical Implementation Guide
SV-252844r879525_rule,V-252844,SV-252844r879525_rule,154,CCI-000018; CCI-000130; CCI-000131; CCI-000140; CCI-000169; CCI-000171; CCI-000172; CCI-000213; CCI-001464; CCI-001851; CCI-001889; CCI-001890; CCI-002234,Rancher Government Solutions Multi-Cluster Manager Security Technical Implementation Guide
SV-215246r853463_rule,V-215246,SV-215246r853463_rule,154,CCI-000018; CCI-000154; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001686; CCI-001813; CCI-002130; CCI-002132; CCI-002234; CCI-002884,IBM AIX 7.x Security Technical Implementation Guide
SV-237818r647863_rule,V-237818,SV-237818r647863_rule,154,CCI-000068; CCI-000366; CCI-000382; CCI-000803; CCI-001453; CCI-001941; CCI-002314; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002890; CCI-003123,HPE 3PAR StoreServ 3.2.x Security Technical Implementation Guide
SV-230772r855681_rule,V-230772,SV-230772r855681_rule,154,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000159; CCI-001464; CCI-001487; CCI-001889; CCI-001890; CCI-001914; CCI-002130,Apple macOS 11 (Big Sur) Security Technical Implementation Guide
SV-257170r905143_rule,V-257170,SV-257170r905143_rule,154,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000159; CCI-001464; CCI-001487; CCI-001889; CCI-001890; CCI-001914; CCI-002130,Apple macOS 13 (Ventura) Security Technical Implementation Guide
SV-252464r853272_rule,V-252464,SV-252464r853272_rule,154,CCI-000159; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-001464; CCI-001487; CCI-002130; CCI-001914; CCI-001889; CCI-001890,Apple macOS 12 (Monterey) Security Technical Implementation Guide
SV-256079r882745_rule,V-256079,SV-256079r882745_rule,154,CCI-000163; CCI-000164; CCI-000166; CCI-000187; CCI-000213; CCI-000366; CCI-000370; CCI-000764; CCI-000770; CCI-001493; CCI-001494; CCI-001495; CCI-002169,Riverbed NetProfiler Security Technical Implementation Guide
SV-217191r854099_rule,V-217191,SV-217191r854099_rule,154,CCI-000366; CCI-001464; CCI-001487; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000154; CCI-000158; CCI-001876; CCI-002884,SLES 12 Security Technical Implementation Guide
SV-256677r888587_rule,V-256677,SV-256677r888587_rule,142,CCI-000067; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000169; CCI-001462; CCI-001464; CCI-001487; CCI-001889; CCI-001890,VMware vSphere 7.0 vCenter Appliance EAM Security Technical Implementation Guide
SV-255272r870135_rule,V-255272,SV-255272r870135_rule,142,CCI-000068; CCI-000197; CCI-000366; CCI-000382; CCI-001453; CCI-002314; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002890; CCI-003123,HPE 3PAR StoreServ 3.3.x Security Technical Implementation Guide
SV-234904r854221_rule,V-234904,SV-234904r854221_rule,142,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000154; CCI-000158; CCI-001464; CCI-001487; CCI-001876; CCI-002884,SUSE Linux Enterprise Server 15 Security Technical Implementation Guide
SV-248743r853799_rule,V-248743,SV-248743r853799_rule,130,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-256615r888336_rule,V-256615,SV-256615r888336_rule,130,CCI-000067; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000169; CCI-001462; CCI-001487; CCI-001889; CCI-001890,VMware vSphere 7.0 vCenter Appliance Perfcharts Security Technical Implementation Guide
SV-256782r889345_rule,V-256782,SV-256782r889345_rule,130,CCI-000067; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000169; CCI-001462; CCI-001487; CCI-001889; CCI-001890,VMware vSphere 7.0 vCenter Appliance UI Security Technical Implementation Guide
SV-256318r919041_rule,V-256318,SV-256318r919041_rule,130,CCI-000068; CCI-000382; CCI-001184; CCI-001453; CCI-001941; CCI-001942; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002450,VMware vSphere 7.0 vCenter Security Technical Implementation Guide
SV-252443r877394_rule,V-252443,SV-252443r877394_rule,130,CCI-000068; CCI-001453; CCI-001941; CCI-001942; CCI-001967; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002890; CCI-003123,Apple macOS 12 (Monterey) Security Technical Implementation Guide
SV-234964r877036_rule,V-234964,SV-234964r877036_rule,130,CCI-000172; CCI-001814; CCI-001875; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882; CCI-001889; CCI-001914,SUSE Linux Enterprise Server 15 Security Technical Implementation Guide
SV-217190r877036_rule,V-217190,SV-217190r877036_rule,130,CCI-000172; CCI-001882; CCI-001889; CCI-001877; CCI-001914; CCI-001814; CCI-001875; CCI-001878; CCI-001879; CCI-001880; CCI-001881,SLES 12 Security Technical Implementation Guide
SV-242254r754442_rule,V-242254,SV-242254r754442_rule,130,CCI-000213; CCI-000345; CCI-000366; CCI-000370; CCI-000770; CCI-001368; CCI-002169; CCI-001813; CCI-001941; CCI-002235; CCI-002883,Trend Micro TippingPoint NDM Security Technical Implementation Guide
SV-234963r854263_rule,V-234963,SV-234963r854263_rule,130,CCI-001814; CCI-001875; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882; CCI-001889; CCI-001914; CCI-002234,SUSE Linux Enterprise Server 15 Security Technical Implementation Guide
SV-217209r854111_rule,V-217209,SV-217209r854111_rule,130,CCI-001877; CCI-001878; CCI-001914; CCI-001889; CCI-001875; CCI-001881; CCI-001882; CCI-001879; CCI-001880; CCI-001814; CCI-002234,SLES 12 Security Technical Implementation Guide
SV-248740r853796_rule,V-248740,SV-248740r853796_rule,118,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-248741r853797_rule,V-248741,SV-248741r853797_rule,118,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-248742r853798_rule,V-248742,SV-248742r853798_rule,118,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-248744r853800_rule,V-248744,SV-248744r853800_rule,118,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-248745r853801_rule,V-248745,SV-248745r853801_rule,118,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-248746r853802_rule,V-248746,SV-248746r853802_rule,118,CCI-000018; CCI-000130; CCI-000135; CCI-000169; CCI-000172; CCI-001403; CCI-001404; CCI-002130; CCI-002132; CCI-002884,Oracle Linux 8 Security Technical Implementation Guide
SV-223653r868792_rule,V-223653,SV-223653r868792_rule,118,CCI-000018; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000172; CCI-001404; CCI-001405; CCI-002884,IBM z/OS RACF Security Technical Implementation Guide
SV-256710r888721_rule,V-256710,SV-256710r888721_rule,118,CCI-000067; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-001462; CCI-001487; CCI-001889; CCI-001890,VMware vSphere 7.0 vCenter Appliance Lookup Service Security Technical Implementation Guide
SV-256749r889217_rule,V-256749,SV-256749r889217_rule,118,CCI-000067; CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-001462; CCI-001487; CCI-001889; CCI-001890,VMware vSphere 7.0 vCenter Appliance STS Security Technical Implementation Guide
SV-214278r881466_rule,V-214278,SV-214278r881466_rule,118,CCI-000068; CCI-000197; CCI-000213; CCI-000803; CCI-001166; CCI-001453; CCI-002448; CCI-002450; CCI-002452; CCI-002506,Apache Server 2.4 UNIX Site Security Technical Implementation Guide
SV-223610r877398_rule,V-223610,SV-223610r877398_rule,118,CCI-000068; CCI-000803; CCI-001453; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002450; CCI-002890; CCI-003123,IBM z/OS ACF2 Security Technical Implementation Guide
SV-223831r877398_rule,V-223831,SV-223831r877398_rule,118,CCI-000068; CCI-000803; CCI-001453; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002450; CCI-002890; CCI-003123,IBM z/OS RACF Security Technical Implementation Guide
SV-224067r877905_rule,V-224067,SV-224067r877905_rule,118,CCI-000068; CCI-000803; CCI-001453; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002450; CCI-002890; CCI-003123,IBM z/OS TSS Security Technical Implementation Guide
SV-230751r877394_rule,V-230751,SV-230751r877394_rule,118,CCI-000068; CCI-001453; CCI-001941; CCI-001942; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002890; CCI-003123,Apple macOS 11 (Big Sur) Security Technical Implementation Guide
SV-255962r882228_rule,V-255962,SV-255962r882228_rule,118,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000169; CCI-000172; CCI-001487; CCI-001849; CCI-001858,Arista MLS EOS 4.2x NDM Security Technical Implementation Guide
SV-252846r918221_rule,V-252846,SV-252846r918221_rule,118,CCI-000133; CCI-000135; CCI-000172; CCI-000366; CCI-001487; CCI-001496; CCI-001849; CCI-001855; CCI-001858; CCI-001876,Rancher Government Solutions Multi-Cluster Manager Security Technical Implementation Guide
SV-254181r846631_rule,V-254181,SV-254181r846631_rule,118,CCI-000154; CCI-000158; CCI-001875; CCI-001876; CCI-001877; CCI-001878; CCI-001879; CCI-001880; CCI-001881; CCI-001882,Nutanix AOS 5.20.x OS Security Technical Implementation Guide
SV-223881r877722_rule,V-223881,SV-223881r877722_rule,118,CCI-000162; CCI-000163; CCI-000164; CCI-000165; CCI-000213; CCI-001314; CCI-001493; CCI-001494; CCI-001495; CCI-002235,IBM z/OS TSS Security Technical Implementation Guide
SV-246838r768178_rule,V-246838,SV-246838r768178_rule,106,CCI-000018; CCI-000130; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-001464; CCI-001914; CCI-002130,HYCU for Nutanix Security Technical Implementation Guide
SV-255951r882195_rule,V-255951,SV-255951r882195_rule,106,CCI-000018; CCI-000135; CCI-000166; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002130; CCI-002234,Arista MLS EOS 4.2x NDM Security Technical Implementation Guide
SV-234899r854216_rule,V-234899,SV-234899r854216_rule,106,CCI-000018; CCI-000172; CCI-001403; CCI-001683; CCI-001684; CCI-001685; CCI-001686; CCI-002130; CCI-002132,SUSE Linux Enterprise Server 15 Security Technical Implementation Guide
SV-254553r894451_rule,V-254553,SV-254553r894451_rule,106,CCI-000068; CCI-000185; CCI-000382; CCI-000803; CCI-001184; CCI-001453; CCI-002420; CCI-002422; CCI-002450,Rancher Government Solutions RKE2 Security Technical Implementation Guide
SV-214230r881408_rule,V-214230,SV-214230r881408_rule,106,CCI-000068; CCI-000197; CCI-000213; CCI-000803; CCI-001188; CCI-001453; CCI-002418; CCI-002422; CCI-002470,Apache Server 2.4 UNIX Server Security Technical Implementation Guide
SV-256592r887562_rule,V-256592,SV-256592r887562_rule,106,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-000169; CCI-001487; CCI-001889,VMware vSphere 7.0 vCenter Appliance PostgreSQL Security Technical Implementation Guide
SV-223554r919119_rule,V-223554,SV-223554r919119_rule,106,CCI-000162; CCI-000163; CCI-000164; CCI-000213; CCI-001314; CCI-001493; CCI-001494; CCI-001495; CCI-002235,IBM z/OS ACF2 Security Technical Implementation Guide
SV-223701r853604_rule,V-223701,SV-223701r853604_rule,106,CCI-000162; CCI-000163; CCI-000164; CCI-000213; CCI-001314; CCI-001493; CCI-001494; CCI-001495; CCI-002235,IBM z/OS RACF Security Technical Implementation Guide
SV-255251r879616_rule,V-255251,SV-255251r879616_rule,94,CCI-000068; CCI-000803; CCI-001188; CCI-001453; CCI-002418; CCI-002420; CCI-002422; CCI-002450,HPE 3PAR SSMC Web Server Security Technical Implementation Guide
SV-234257r628796_rule,V-234257,SV-234257r628796_rule,94,CCI-000068; CCI-001184; CCI-001414; CCI-001453; CCI-002418; CCI-002420; CCI-002421; CCI-002422,Citrix Virtual Apps and Desktop 7.x Linux Virtual Delivery Agent Security Technical Implementation Guide
SV-234253r628798_rule,V-234253,SV-234253r628798_rule,94,CCI-000068; CCI-001184; CCI-001414; CCI-001453; CCI-002418; CCI-002420; CCI-002421; CCI-002422,Citrix Virtual Apps and Desktop 7.x Windows Virtual Delivery Agent Security Technical Implementation Guide
SV-255267r879559_rule,V-255267,SV-255267r879559_rule,94,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000169; CCI-001462; CCI-001464,HPE 3PAR SSMC Web Server Security Technical Implementation Guide
SV-214232r881413_rule,V-214232,SV-214232r881413_rule,94,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000169; CCI-001464; CCI-001487,Apache Server 2.4 UNIX Server Security Technical Implementation Guide
SV-256650r888472_rule,V-256650,SV-256650r888472_rule,94,CCI-000130; CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-001487; CCI-001889; CCI-001890,VMware vSphere 7.0 VAMI Security Technical Implementation Guide
SV-224001r877842_rule,V-224001,SV-224001r877842_rule,94,CCI-000131; CCI-000132; CCI-000133; CCI-000134; CCI-000135; CCI-001464; CCI-001665; CCI-001764,IBM z/OS TSS Security Technical Implementation Guide
SV-256490r887144_rule,V-256490,SV-256490r887144_rule,94,CCI-000135; CCI-000169; CCI-000172; CCI-001487; CCI-001744; CCI-001814; CCI-002696; CCI-002699,VMware vSphere 7.0 vCenter Appliance Photon OS Security Technical Implementation Guide
SV-253524r879530_rule,V-253524,SV-253524r879530_rule,94,CCI-000162; CCI-000213; CCI-001082; CCI-001084; CCI-001493; CCI-001499; CCI-001813; CCI-002235,Palo Alto Networks Prisma Cloud Compute Security Technical Implementation Guide
SV-234869r854213_rule,V-234869,SV-234869r854213_rule,94,CCI-000187; CCI-000765; CCI-000766; CCI-000767; CCI-000768; CCI-001948; CCI-001953; CCI-001954,SUSE Linux Enterprise Server 15 Security Technical Implementation Guide
SV-237914r649582_rule,V-237914,SV-237914r649582_rule,94,CCI-000192; CCI-000193; CCI-000194; CCI-000195; CCI-000198; CCI-000205; CCI-000366; CCI-001619,IBM zVM Using CA VM:Secure Security Technical Implementation Guide
SV-253538r879601_rule,V-253538,SV-253538r879601_rule,94,CCI-000192; CCI-000193; CCI-000194; CCI-000205; CCI-001619; CCI-001953; CCI-002007; CCI-002038,Palo Alto Networks Prisma Cloud Compute Security Technical Implementation Guide
SV-216387r854524_rule,V-216387,SV-216387r854524_rule,94,CCI-000197; CCI-000366; CCI-000877; CCI-000382; CCI-001453; CCI-001941; CCI-001942; CCI-002890,Solaris 11 SPARC Security Technical Implementation Guide
SV-216150r854549_rule,V-216150,SV-216150r854549_rule,94,CCI-000197; CCI-000366; CCI-002890; CCI-000877; CCI-000382; CCI-001453; CCI-001941; CCI-001942,Solaris 11 X86 Security Technical Implementation Guide
SV-256503r887183_rule,V-256503,SV-256503r887183_rule,94,CCI-000197; CCI-000803; CCI-000877; CCI-001941; CCI-001942; CCI-002420; CCI-002422; CCI-002891,VMware vSphere 7.0 vCenter Appliance Photon OS Security Technical Implementation Guide
SV-217301r854167_rule,V-217301,SV-217301r854167_rule,94,CCI-000765; CCI-000766; CCI-000767; CCI-000768; CCI-000187; CCI-001948; CCI-001953; CCI-001954,SLES 12 Security Technical Implementation Guide
SV-255239r869867_rule,V-255239,SV-255239r869867_rule,94,CCI-000877; CCI-001453; CCI-002418; CCI-002420; CCI-002421; CCI-002422; CCI-002450; CCI-003123,HPE 3PAR SSMC Operating System Security Technical Implementation Guide
SV-220750r851970_rule,V-220750,SV-220750r851970_rule,82,CCI-000018; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002130; CCI-002234,Microsoft Windows 10 Security Technical Implementation Guide
SV-220751r851971_rule,V-220751,SV-220751r851971_rule,82,CCI-000018; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002130; CCI-002234,Microsoft Windows 10 Security Technical Implementation Guide
SV-220752r851972_rule,V-220752,SV-220752r851972_rule,82,CCI-000018; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002130; CCI-002234,Microsoft Windows 10 Security Technical Implementation Guide
SV-230770r855680_rule,V-230770,SV-230770r855680_rule,82,CCI-000018; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002234; CCI-002884,Apple macOS 11 (Big Sur) Security Technical Implementation Guide
SV-257168r905137_rule,V-257168,SV-257168r905137_rule,82,CCI-000018; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002234; CCI-002884,Apple macOS 13 (Ventura) Security Technical Implementation Guide
SV-252462r853271_rule,V-252462,SV-252462r853271_rule,82,CCI-000018; CCI-000172; CCI-001403; CCI-001404; CCI-001405; CCI-002884; CCI-002234,Apple macOS 12 (Monterey) Security Technical Implementation Guide
SV-230759r599842_rule,V-230759,SV-230759r599842_rule,82,CCI-000048; CCI-000050; CCI-001384; CCI-001385; CCI-001386; CCI-001387; CCI-001388,Apple macOS 11 (Big Sur) Security Technical Implementation Guide
SV-252451r816167_rule,V-252451,SV-252451r816167_rule,82,CCI-000048; CCI-000050; CCI-001384; CCI-001385; CCI-001386; CCI-001387; CCI-001388,Apple macOS 12 (Monterey) Security Technical Implementation Guide
SV-257157r905104_rule,V-257157,SV-257157r905104_rule,82,CCI-000048; CCI-000050; CCI-001384; CCI-001385; CCI-001386; CCI-001387; CCI-001388,Apple macOS 13 (Ventura) Security Technical Implementation Guide
SV-237829r647896_rule,V-237829,SV-237829r647896_rule,82,CCI-000048; CCI-000050; CCI-001384; CCI-001385; CCI-001386; CCI-001387; CCI-001388,HPE 3PAR StoreServ 3.2.x Security Technical Implementation Guide
SV-220921r569187_rule,V-220921,SV-220921r569187_rule,82,CCI-000048; CCI-000050; CCI-001384; CCI-001385; CCI-001386; CCI-001387; CCI-001388,Microsoft Windows 10 Security Technical Implementation Guide
